series_id,year,period,value
CIU2010000100000I,2016,Q04,127.4
CIU2010000100000I,2016,Q03,127.1
CIU2010000100000I,2016,Q02,126.5
CIU2010000100000I,2016,Q01,126.0
CIU2010000100000I,2015,Q04,125.3
CIU2010000100000I,2015,Q03,124.9
CIU2010000100000I,2015,Q02,124.2
CIU2010000100000I,2015,Q01,123.8
CIU2010000100000I,2014,Q04,123.0
CIU2010000100000I,2014,Q03,122.7
CIU2010000100000I,2014,Q02,122.0
CIU2010000100000I,2014,Q01,120.7
CIU2010000100000I,2013,Q04,120.2
CIU2010000100000I,2013,Q03,119.9
CIU2010000100000I,2013,Q02,119.4
CIU2010000100000I,2013,Q01,118.5
CIU2010000100000I,2012,Q04,117.7
CIU2010000100000I,2012,Q03,117.4
CIU2010000100000I,2012,Q02,117.1
CIU2010000100000I,2012,Q01,116.4
CIU2010000100000I,2011,Q04,115.4
CIU2010000100000I,2011,Q03,115.1
CIU2010000100000I,2011,Q02,114.8
CIU2010000100000I,2011,Q01,114.1
CIU2010000100000I,2010,Q04,113.0
CIU2010000100000I,2010,Q03,112.7
CIU2010000100000I,2010,Q02,112.2
CIU2010000100000I,2010,Q01,111.8
CIU2010000100000Q,2024,Q04,0.5
CIU2010000100000Q,2024,Q03,0.6
CIU2010000100000Q,2024,Q02,0.9
CIU2010000100000Q,2024,Q01,1.3
CIU2010000100000Q,2023,Q04,0.4
CIU2010000100000Q,2023,Q03,1.0
CIU2010000100000Q,2023,Q02,1.2
CIU2010000100000Q,2023,Q01,1.4
CIU2010000100000Q,2022,Q04,0.8
CIU2010000100000Q,2022,Q03,0.7
CIU2010000100000Q,2022,Q02,1.3
CIU2010000100000Q,2022,Q01,1.5
CIU2010000100000Q,2021,Q04,0.6
CIU2010000100000Q,2021,Q03,1.3
CIU2010000100000Q,2021,Q02,0.7
CIU2010000100000Q,2021,Q01,0.9
CIU2010000100000Q,2020,Q04,0.4
CIU2010000100000Q,2020,Q03,0.4
CIU2010000100000Q,2020,Q02,0.3
CIU2010000100000Q,2020,Q01,0.9
CIU2010000100000Q,2019,Q04,0.3
CIU2010000100000Q,2019,Q03,0.6
CIU2010000100000Q,2019,Q02,0.6
CIU2010000100000Q,2019,Q01,0.7
CIU2010000100000Q,2018,Q04,0.4
CIU2010000100000Q,2018,Q03,0.5
CIU2010000100000Q,2018,Q02,0.6
CIU2010000100000Q,2018,Q01,1.0
CIU2010000100000Q,2017,Q04,0.4
CIU2010000100000Q,2017,Q03,0.4
CIU2010000100000Q,2017,Q02,0.8
CIU2010000100000Q,2017,Q01,0.9
CIU2010000100000Q,2016,Q04,0.2
CIU2010000100000Q,2016,Q03,0.5
CIU2010000100000Q,2016,Q02,0.4
CIU2010000100000Q,2016,Q01,0.6
CIU2010000100000Q,2015,Q04,0.3
CIU2010000100000Q,2015,Q03,0.6
CIU2010000100000Q,2015,Q02,0.3
CIU2010000100000Q,2015,Q01,0.7
CIU2010000100000Q,2014,Q04,0.2
CIU2010000100000Q,2014,Q03,0.6
CIU2010000100000Q,2014,Q02,1.1
CIU2010000100000Q,2014,Q01,0.4
CIU2010000100000Q,2013,Q04,0.3
CIU2010000100000Q,2013,Q03,0.4
CIU2010000100000Q,2013,Q02,0.8
CIU2010000100000Q,2013,Q01,0.7
CIU2010000100000Q,2012,Q04,0.3
CIU2010000100000Q,2012,Q03,0.3
CIU2010000100000Q,2012,Q02,0.6
CIU2010000100000Q,2012,Q01,0.9
CIU2010000100000Q,2011,Q04,0.3
CIU2010000100000Q,2011,Q03,0.3
CIU2010000100000Q,2011,Q02,0.6
CIU2010000100000Q,2011,Q01,1.0
CIU2010000100000Q,2010,Q04,0.3
CIU2010000100000Q,2010,Q03,0.4
CIU2010000100000Q,2010,Q02,0.4
CIU2010000100000Q,2010,Q01,1.0
CIU2010000200000A,2024,Q04,3.0
CIU2010000200000A,2024,Q03,3.1
CIU2010000200000A,2024,Q02,3.3
CIU2010000200000A,2024,Q01,4.1
CIU2010000200000A,2023,Q04,3.8
CIU2010000200000A,2023,Q03,4.2
CIU2010000200000A,2023,Q02,4.7
CIU2010000200000A,2023,Q01,5.7
CIU2010000200000A,2022,Q04,6.1
CIU2010000200000A,2022,Q03,6.0
CIU2010000200000A,2022,Q02,6.3
CIU2010000200000A,2022,Q01,4.4
CIU2010000200000A,2021,Q04,4.7
CIU2010000200000A,2021,Q03,4.7
CIU2010000200000A,2021,Q02,3.6
CIU2010000200000A,2021,Q01,3.9
CIU2010000200000A,2020,Q04,3.2
CIU2010000200000A,2020,Q03,2.5
CIU2010000200000A,2020,Q02,3.2
CIU2010000200000A,2020,Q01,3.1
CIU2010000200000A,2019,Q04,2.8
CIU2010000200000A,2019,Q03,3.0
CIU2010000200000A,2019,Q02,2.9
CIU2010000200000A,2019,Q01,3.3
CIU2010000200000A,2018,Q04,3.8
CIU2010000200000A,2018,Q03,3.5
CIU2010000200000A,2018,Q02,3.5
CIU2010000200000A,2018,Q01,3.0
CIU2010000200000A,2017,Q04,2.6
CIU2010000200000A,2017,Q03,2.5
CIU2010000200000A,2017,Q02,1.7
CIU2010000200000A,2017,Q01,2.4
CIU2010000200000A,2016,Q04,2.3
CIU2010000200000A,2016,Q03,2.5
CIU2010000200000A,2016,Q02,3.1
CIU2010000200000A,2016,Q01,1.4
CIU2010000200000A,2015,Q04,1.6
CIU2010000200000A,2015,Q03,2.1
CIU2010000200000A,2015,Q02,1.9
CIU2010000200000A,2015,Q01,3.4
CIU2010000200000A,2014,Q04,2.4
CIU2010000200000A,2014,Q03,2.3
CIU2010000200000A,2014,Q02,2.1
CIU2010000200000A,2014,Q01,1.8
CIU2010000200000A,2013,Q04,2.3
CIU2010000200000A,2013,Q03,1.9
CIU2010000200000A,2013,Q02,1.8
CIU2010000200000A,2013,Q01,1.9
CIU2010000200000A,2012,Q04,1.8
CIU2010000200000A,2012,Q03,2.1
CIU2010000200000A,2012,Q02,2.3
CIU2010000200000A,2012,Q01,2.6
CIU2010000200000A,2011,Q04,2.3
CIU2010000200000A,2011,Q03,2.4
CIU2010000200000A,2011,Q02,2.3
CIU2010000200000A,2011,Q01,2.1
CIU2010000200000A,2010,Q04,2.2
CIU2010000200000A,2010,Q03,2.1
CIU2010000200000A,2010,Q02,2.3
CIU2010000200000A,2010,Q01,1.8
CIU2010000200000I,2024,Q04,170.2
CIU2010000200000I,2024,Q03,169.1
CIU2010000200000I,2024,Q02,168.5
CIU2010000200000I,2024,Q01,167.9
CIU2010000200000I,2023,Q04,165.2
CIU2010000200000I,2023,Q03,164.0
CIU2010000200000I,2023,Q02,163.1
CIU2010000200000I,2023,Q01,161.3
CIU2010000200000I,2022,Q04,159.1
CIU2010000200000I,2022,Q03,157.4
CIU2010000200000I,2022,Q02,155.8
CIU2010000200000I,2022,Q01,152.6
CIU2010000200000I,2021,Q04,149.9
CIU2010000200000I,2021,Q03,148.5
CIU2010000200000I,2021,Q02,146.6
CIU2010000200000I,2021,Q01,146.1
CIU2010000200000I,2020,Q04,143.2
CIU2010000200000I,2020,Q03,141.9
CIU2010000200000I,2020,Q02,141.5
CIU2010000200000I,2020,Q01,140.6
CIU2010000200000I,2019,Q04,138.8
CIU2010000200000I,2019,Q03,138.4
CIU2010000200000I,2019,Q02,137.1
CIU2010000200000I,2019,Q01,136.4
CIU2010000200000I,2018,Q04,135.0
CIU2010000200000I,2018,Q03,134.4
CIU2010000200000I,2018,Q02,133.2
CIU2010000200000I,2018,Q01,132.0
CIU2010000200000I,2017,Q04,130.1
CIU2010000200000I,2017,Q03,129.9
CIU2010000200000I,2017,Q02,128.7
CIU2010000200000I,2017,Q01,128.1
CIU2010000200000I,2016,Q04,126.8
CIU2010000200000I,2016,Q03,126.7
CIU2010000200000I,2016,Q02,126.6
CIU2010000200000I,2016,Q01,125.1
CIU2010000200000I,2015,Q04,123.9
CIU2010000200000I,2015,Q03,123.6
CIU2010000200000I,2015,Q02,122.8
CIU2010000200000I,2015,Q01,123.4
CIU2010000200000I,2014,Q04,121.9
